episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6
0,0,0.000000,agent_0,actor_logits,1,1,2,7.558599,-11.420715,18.979313,0.000000,1.000000,-11.420715,7.558599,,,,,
0,0,0.000000,agent_1,actor_logits,2,1,5,9.313630,-11.703362,8.024084,0.003433,0.999630,-11.703362,1.289546,9.313630,-4.450884,-0.769613,,
0,0,0.000000,agent_2,actor_logits,1,1,5,7.880260,-8.703908,3.372582,0.145632,0.966832,-8.703908,7.880260,4.507678,-7.468950,-4.469512,,
0,0,0.000000,agent_3,actor_logits,1,1,3,11.949427,-9.488137,15.615034,0.000003,1.000000,-9.488137,11.949427,-3.665607,,,,
0,0,0.000000,agent_4,actor_logits,1,1,6,9.022332,-10.114305,9.868023,0.000954,0.999915,-10.114305,9.022332,-1.454818,-3.233774,-6.112930,-0.845690,
0,0,0.000000,agent_5,actor_logits,1,1,2,10.026155,-16.145111,26.171267,0.000000,1.000000,-16.145111,10.026155,,,,,
0,1,10.000000,agent_0,actor_logits,1,1,5,6.718955,-7.440327,5.170531,0.035217,0.994323,-7.440327,6.718955,1.548424,-4.082392,-5.124341,,
0,1,10.000000,agent_1,actor_logits,1,1,4,8.153823,-13.704530,6.728019,0.009487,0.998784,-13.704530,8.153823,1.425804,-2.612625,,,
0,1,10.000000,agent_2,actor_logits,2,1,3,8.218919,-12.882664,7.263880,0.005784,0.999300,-12.882664,0.955039,8.218919,,,,
0,1,10.000000,agent_3,actor_logits,1,1,4,12.657015,-9.650345,11.338947,0.000148,0.999988,-9.650345,12.657015,-3.775463,1.318068,,,
0,1,10.000000,agent_4,actor_logits,1,1,6,10.947216,-11.944556,10.141769,0.000541,0.999953,-11.944556,10.947216,-0.789017,0.805446,-11.413726,-6.454335,
0,1,10.000000,agent_5,actor_logits,1,1,3,7.523519,-15.705020,8.426438,0.002064,0.999781,-15.705020,7.523519,-0.902920,,,,
0,2,20.000000,agent_0,actor_logits,1,1,2,2.366890,-14.241292,16.608181,0.000001,1.000000,-14.241292,2.366890,,,,,
0,2,20.000000,agent_1,actor_logits,2,1,6,8.216567,-10.048366,7.028828,0.011011,0.998687,-10.048366,1.187739,8.216567,-6.984841,-1.668597,0.334596,
0,2,20.000000,agent_2,actor_logits,2,1,5,7.061600,-11.431754,8.647110,0.003632,0.999635,-11.431754,-1.585510,7.061600,-2.521047,-1.960515,,
0,2,20.000000,agent_3,actor_logits,2,1,4,7.893808,-11.865874,5.433483,0.028005,0.995650,-11.865874,2.460325,7.893808,-5.764784,,,
0,2,20.000000,agent_4,actor_logits,1,1,3,6.353942,-16.962662,11.706698,0.000105,0.999992,-16.962662,6.353942,-5.352757,,,,
0,2,20.000000,agent_5,actor_logits,1,1,3,7.167840,-13.514172,8.079545,0.002812,0.999690,-13.514172,7.167840,-0.911704,,,,
0,3,30.000000,agent_0,actor_logits,2,1,5,6.188504,-8.371892,6.902473,0.010729,0.998708,-8.371892,-2.208834,6.188504,-3.484926,-0.713969,,
0,3,30.000000,agent_2,actor_logits,2,1,5,8.963696,-10.525512,8.542676,0.002282,0.999767,-10.525512,-1.235545,8.963696,-5.942437,0.421019,,
