jitter_frac,episode_idx,WI_fromT
0.0000,0,95.850000
0.0000,1,95.850000
0.0000,2,95.850000
0.0000,3,95.850000
0.0000,4,95.850000
0.0000,5,95.850000
0.0000,6,95.850000
0.0000,7,95.850000
0.0000,8,95.850000
0.0000,9,95.850000
0.0000,10,95.850000
0.0000,11,95.850000
0.0000,12,95.850000
0.0000,13,95.850000
0.0000,14,95.850000
0.0000,15,95.850000
0.0000,16,95.850000
0.0000,17,95.850000
0.0000,18,95.850000
0.0000,19,95.850000
0.0000,20,95.850000
0.0000,21,95.850000
0.0000,22,95.850000
0.0000,23,95.850000
0.0000,24,95.850000
0.0000,25,95.850000
0.0000,26,95.850000
0.0000,27,95.850000
0.0000,28,95.850000
0.0000,29,95.850000
0.0000,30,95.850000
0.0000,31,95.850000
0.0000,32,95.850000
0.0000,33,95.850000
0.0000,34,95.850000
0.0000,35,95.850000
0.0000,36,95.850000
0.0000,37,95.850000
0.0000,38,95.850000
0.0000,39,95.850000
0.0000,40,95.850000
0.0000,41,95.850000
0.0000,42,95.850000
0.0000,43,95.850000
0.0000,44,95.850000
0.0000,45,95.850000
0.0000,46,95.850000
0.0000,47,95.850000
0.0000,48,95.850000
0.0000,49,95.850000
0.0000,50,95.850000
0.0000,51,95.850000
0.0000,52,95.850000
0.0000,53,95.850000
0.0000,54,95.850000
0.0000,55,95.850000
0.0000,56,95.850000
0.0000,57,95.850000
0.0000,58,95.850000
0.0000,59,95.850000
0.0000,60,95.850000
0.0000,61,95.850000
0.0000,62,95.850000
0.0000,63,95.850000
0.0000,64,95.850000
0.0000,65,95.850000
0.0000,66,95.850000
0.0000,67,95.850000
0.0000,68,95.850000
0.0000,69,95.850000
0.0000,70,95.850000
0.0000,71,95.850000
0.0000,72,95.850000
0.0000,73,95.850000
0.0000,74,95.850000
0.0000,75,95.850000
0.0000,76,95.850000
0.0000,77,95.850000
0.0000,78,95.850000
0.0000,79,95.850000
0.0000,80,95.850000
0.0000,81,95.850000
0.0000,82,95.850000
0.0000,83,95.850000
0.0000,84,95.850000
0.0000,85,95.850000
0.0000,86,95.850000
0.0000,87,95.850000
0.0000,88,95.850000
0.0000,89,95.850000
0.0000,90,95.850000
0.0000,91,95.850000
0.0000,92,95.850000
0.0000,93,95.850000
0.0000,94,95.850000
0.0000,95,95.850000
0.0000,96,95.850000
0.0000,97,95.850000
0.0000,98,95.850000
0.0000,99,95.850000
0.0500,0,97.295122
0.0500,1,97.367694
0.0500,2,97.414799
0.0500,3,97.442649
0.0500,4,104.818810
0.0500,5,96.619523
0.0500,6,96.162128
0.0500,7,96.824752
0.0500,8,100.476863
0.0500,9,120.746505
0.0500,10,97.497188
0.0500,11,120.033557
0.0500,12,96.885025
0.0500,13,98.145163
0.0500,14,96.796729
0.0500,15,97.451313
0.0500,16,97.036818
0.0500,17,97.361782
0.0500,18,97.894282
0.0500,19,97.558203
0.0500,20,95.818936
0.0500,21,100.229052
0.0500,22,96.842757
0.0500,23,98.006905
0.0500,24,95.745393
0.0500,25,119.413389
0.0500,26,97.128180
0.0500,27,98.933753
0.0500,28,104.606232
0.0500,29,97.613919
0.0500,30,98.760324
0.0500,31,102.610503
0.0500,32,97.494714
0.0500,33,98.700748
0.0500,34,96.994507
0.0500,35,96.229032
0.0500,36,96.213376
0.0500,37,97.518988
0.0500,38,96.643380
0.0500,39,96.931960
0.0500,40,96.194275
0.0500,41,97.045903
0.0500,42,97.459263
0.0500,43,97.020393
