episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,actor_logits,0,1,1,1.359987,1.359987,nan,0.000000,1.000000,1.359987,,,,,
0,0,0.000000,agent_1,actor_logits,0,1,4,3.898751,-2.511999,4.205915,0.149646,0.972537,3.898751,-2.511999,-0.550454,-0.307165,,
0,0,0.000000,agent_2,actor_logits,0,1,4,3.898751,-2.511999,4.205915,0.149646,0.972537,3.898751,-2.511999,-0.550454,-0.307165,,
0,0,0.000000,agent_3,actor_logits,0,1,2,3.470622,-0.731020,4.201642,0.076835,0.985250,3.470622,-0.731020,,,,
0,0,0.000000,agent_4,actor_logits,0,1,5,3.485407,-3.061040,2.183692,0.380287,0.891413,3.485407,-1.711632,1.301715,-3.061040,-2.624102,
0,0,0.000000,agent_5,actor_logits,0,1,1,1.359987,1.359987,nan,0.000000,1.000000,1.359987,,,,,
0,10,10.000000,agent_0,actor_logits,2,1,4,5.203802,-3.851574,3.622309,0.131633,0.972586,1.581493,-3.851574,5.203802,-1.404656,,
0,10,10.000000,agent_2,actor_logits,1,1,2,3.868372,-1.763708,5.632080,0.023672,0.996432,-1.763708,3.868372,,,,
0,10,10.000000,agent_3,actor_logits,1,1,3,5.428760,-1.698851,4.524099,0.065731,0.988487,-1.698851,5.428760,0.904661,,,
0,10,10.000000,agent_4,actor_logits,2,1,5,4.051793,-5.407749,2.422590,0.356521,0.906270,1.629203,-0.392957,4.051793,-5.407749,-1.786280,
0,10,10.000000,agent_5,actor_logits,0,1,2,1.840980,-2.113855,3.954835,0.093338,0.981198,1.840980,-2.113855,,,,
0,15,15.000000,agent_1,actor_logits,1,1,3,4.986495,-1.891723,6.013084,0.025191,0.996536,-1.026590,4.986495,-1.891723,,,
0,20,20.000000,agent_0,actor_logits,0,1,5,6.058174,-4.580560,8.012774,0.008449,0.999079,6.058174,-2.139815,-1.954601,-2.083945,-4.580560,
0,20,20.000000,agent_2,actor_logits,2,1,4,6.575587,-5.935050,5.860439,0.036601,0.994724,-5.935050,0.715149,6.575587,0.563950,,
0,20,20.000000,agent_4,actor_logits,2,1,3,3.987992,-3.067634,3.306725,0.159445,0.963857,0.681266,-3.067634,3.987992,,,
0,20,20.000000,agent_5,actor_logits,0,1,2,-1.101028,-4.100769,2.999741,0.190900,0.952562,-1.101028,-4.100769,,,,
0,25,25.000000,agent_3,actor_logits,1,1,3,9.664241,-3.626359,12.915018,0.000058,0.999996,-3.626359,9.664241,-3.250777,,,
0,30,30.000000,agent_0,actor_logits,0,1,2,1.668102,-4.841073,6.509175,0.011171,0.998512,1.668102,-4.841073,,,,
0,30,30.000000,agent_1,actor_logits,2,1,4,6.435182,-4.955643,4.818501,0.053237,0.991185,-4.955643,-0.692326,6.435182,1.616680,,
0,30,30.000000,agent_2,actor_logits,2,1,4,7.081705,-6.387702,4.140935,0.084211,0.983937,-6.387702,-0.704331,7.081705,2.940770,,
0,30,30.000000,agent_4,actor_logits,1,1,2,4.306590,-4.839054,9.145643,0.001082,0.999893,-4.839054,4.306590,,,,
0,30,30.000000,agent_5,actor_logits,1,1,2,-1.336233,-5.660841,4.324608,0.069656,0.986934,-5.660841,-1.336233,,,,
0,35,35.000000,agent_3,actor_logits,1,1,2,0.848379,-0.717409,1.565787,0.460326,0.827182,-0.717409,0.848379,,,,
0,40,40.000000,agent_1,actor_logits,2,1,4,6.551815,-5.153397,0.978067,0.587126,0.726680,-2.937780,-5.153397,6.551815,5.573748,,
0,40,40.000000,agent_2,actor_logits,3,1,4,6.275319,-3.475026,3.888525,0.101530,0.979594,-3.475026,-1.846873,2.386794,6.275319,,
0,40,40.000000,agent_4,actor_logits,1,1,5,6.221989,-4.295057,5.299196,0.041552,0.993780,-2.439708,6.221989,-0.624768,-4.295057,0.922792,
0,40,40.000000,agent_5,actor_logits,1,1,2,-0.144351,-6.734094,6.589744,0.010418,0.998628,-6.734094,-0.144351,,,,
0,45,45.000000,agent_0,actor_logits,0,1,4,5.895285,-2.331433,7.588588,0.010101,0.998857,5.895285,-2.005409,-1.693303,-2.331433,,
0,45,45.000000,agent_3,actor_logits,1,1,5,6.454834,-5.784925,6.920350,0.016109,0.998052,-0.937622,6.454834,-1.521088,-5.784925,-0.465516,
0,50,50.000000,agent_1,actor_logits,1,1,3,3.590087,-3.872192,3.103610,0.181811,0.956516,-3.872192,3.590087,0.486478,,,
0,50,50.000000,agent_4,actor_logits,3,1,4,8.786019,-8.590975,5.983397,0.020595,0.997149,2.802623,-8.590975,0.797345,8.786019,,
0,50,50.000000,agent_5,actor_logits,1,1,2,5.679457,-9.144053,14.823511,0.000006,1.000000,-9.144053,5.679457,,,,
0,55,55.000000,agent_0,actor_logits,0,1,1,-2.935694,-2.935694,nan,0.000000,1.000000,-2.935694,,,,,
0,55,55.000000,agent_2,actor_logits,2,1,3,6.172638,-6.818068,5.852479,0.019665,0.997133,-6.818068,0.320159,6.172638,,,
0,55,55.000000,agent_3,actor_logits,1,1,2,0.539717,-4.955977,5.495694,0.026560,0.995912,-4.955977,0.539717,,,,
0,60,60.000000,agent_1,actor_logits,2,1,5,2.851680,-5.331351,1.796823,0.795781,0.747164,0.934833,1.054857,2.851680,-5.331351,-0.828452,
0,60,60.000000,agent_4,actor_logits,3,1,4,5.739032,-5.946146,3.939496,0.166850,0.967186,1.502722,-5.946146,1.799536,5.739032,,
0,60,60.000000,agent_5,actor_logits,0,1,1,-7.964342,-7.964342,nan,0.000000,1.000000,-7.964342,,,,,
0,65,65.000000,agent_0,actor_logits,3,1,4,6.751107,-6.603249,4.056832,0.097381,0.981503,2.694275,-6.603249,0.275264,6.751107,,
0,65,65.000000,agent_2,actor_logits,1,1,2,3.767651,-7.181866,10.949517,0.000210,0.999982,-7.181866,3.767651,,,,
0,65,65.000000,agent_3,actor_logits,2,1,4,6.750828,-4.346009,2.639672,0.245513,0.933313,-4.346009,-3.121729,6.750828,4.111156,,
0,70,70.000000,agent_1,actor_logits,0,1,2,2.969156,-1.634135,4.603292,0.055631,0.990081,2.969156,-1.634135,,,,
0,70,70.000000,agent_4,actor_logits,0,1,2,1.536001,-1.376519,2.912520,0.203019,0.948462,1.536001,-1.376519,,,,
0,70,70.000000,agent_5,actor_logits,0,1,2,1.442265,-6.394340,7.836605,0.003489,0.999605,1.442265,-6.394340,,,,
0,75,75.000000,agent_0,actor_logits,1,1,2,3.056512,-6.279332,9.335843,0.000912,0.999912,-6.279332,3.056512,,,,
0,75,75.000000,agent_2,actor_logits,0,1,1,-6.624871,-6.624871,nan,0.000000,1.000000,-6.624871,,,,,
0,75,75.000000,agent_3,actor_logits,2,1,5,6.003916,-2.392090,4.608493,0.095681,0.983836,-2.118528,-2.392090,6.003916,0.877934,1.395423,
0,80,80.000000,agent_4,actor_logits,0,1,5,2.605048,-4.410880,1.191065,0.703704,0.737166,2.605048,1.413983,-0.488974,-4.410880,-2.441329,
0,80,80.000000,agent_5,actor_logits,0,1,2,1.550587,-9.079771,10.630358,0.000281,0.999976,1.550587,-9.079771,,,,
0,85,85.000000,agent_0,actor_logits,1,1,4,6.601453,-5.516708,5.419150,0.029363,0.995489,-5.516708,6.601453,1.182303,-2.663753,,
0,85,85.000000,agent_1,actor_logits,1,1,5,5.862773,-7.454238,4.656465,0.059827,0.989856,1.206308,5.862773,-7.454238,-2.162911,-1.915043,
0,85,85.000000,agent_2,actor_logits,0,1,2,1.410056,-7.252713,8.662769,0.001670,0.999827,1.410056,-7.252713,,,,
